id,dir,entry,stop,risk,spread_pips,pl,R
106,SELL,1.26600,1.26800,94.00,0.600,-94.00,-1.000
107,BUY,1.26872,1.26673,93.53,0.200,-93.62,-1.001
108,SELL,1.26907,1.27107,92.00,0.400,182.99,1.989
109,SELL,1.26480,1.26677,92.59,0.200,-93.06,-1.005
110,SELL,1.26667,1.26867,94.00,0.600,188.47,2.005
111,BUY,1.26193,1.25994,95.52,0.400,-95.62,-1.001
112,SELL,1.26197,1.26397,94.00,0.200,-94.00,-1.000
113,BUY,1.26399,1.26199,94.00,0.200,187.91,1.999
114,SELL,1.26707,1.26907,96.00,0.200,-96.00,-1.000
115,SELL,1.26935,1.27135,94.00,0.200,-95.97,-1.021
116,BUY,1.27040,1.26840,94.00,0.600,189.41,2.015
117,BUY,1.27552,1.27353,95.52,0.400,-95.52,-1.000
118,BUY,1.27367,1.27167,94.00,0.600,189.41,2.015
119,SELL,1.27993,1.28192,95.52,0.400,-96.58,-1.011
120,SELL,1.28265,1.28465,96.00,0.200,-97.44,-1.015
121,SELL,1.28650,1.28850,94.00,0.200,-94.00,-1.000
122,BUY,1.28824,1.28626,93.06,0.200,-93.06,-1.000
123,SELL,1.28504,1.28703,91.54,0.400,183.45,2.004
124,SELL,1.28091,1.28289,93.06,0.200,187.91,2.019
125,BUY,1.27876,1.27676,96.00,0.500,-96.39,-1.004
126,SELL,1.27300,1.27499,95.52,0.100,190.36,1.993
127,BUY,1.27162,1.26962,98.00,0.600,-98.49,-1.005
128,BUY,1.26936,1.26736,96.00,0.100,193.44,2.015
129,BUY,1.27247,1.27047,98.00,0.500,196.00,2.000
130,BUY,1.27750,1.27550,100.00,0.600,-100.30,-1.003
131,BUY,1.26635,1.26435,100.00,0.100,-100.10,-1.001
132,BUY,1.26411,1.26211,98.00,0.200,-98.49,-1.005
133,BUY,1.25948,1.25748,98.00,0.100,196.39,2.004
134,SELL,1.26407,1.26606,99.50,0.100,-100.60,-1.011
135,SELL,1.26153,1.26353,98.00,0.100,-98.00,-1.000
136,SELL,1.26132,1.26332,98.00,0.500,-98.49,-1.005
137,SELL,1.26343,1.26542,95.52,0.100,191.32,2.003
138,BUY,1.25400,1.25201,97.51,0.100,196.29,2.013
139,SELL,1.25696,1.25896,100.00,0.100,-100.50,-1.005
140,BUY,1.26492,1.26294,99.00,0.200,-100.40,-1.014
141,SELL,1.26430,1.26625,95.55,1.700,199.43,2.087
142,SELL,1.26368,1.26568,100.00,0.100,-100.00,-1.000
143,SELL,1.26615,1.26814,99.50,0.400,-100.60,-1.011
144,SELL,1.26783,1.26978,95.55,0.100,-95.55,-1.000
145,SELL,1.25667,1.25867,98.00,0.100,196.00,2.000
146,SELL,1.25295,1.25494,99.50,0.400,-103.30,-1.038
147,BUY,1.25452,1.25252,98.00,0.300,-98.00,-1.000
