id,dir,entry,stop,risk,pl,R
1279,BUY,1.09236,1.09136,100.00,-100.00,-1.000
1280,SELL,1.09351,1.09451,100.00,-100.00,-1.000
1281,SELL,1.09482,1.09582,100.00,-100.00,-1.000
1282,SELL,1.09576,1.09676,100.00,-101.00,-1.010
1283,SELL,1.09820,1.09920,100.00,-103.00,-1.030
1284,BUY,1.09943,1.09843,100.00,-102.00,-1.020
1285,SELL,1.09961,1.10061,100.00,-100.00,-1.000
1286,SELL,1.10147,1.10247,100.00,-100.00,-1.000
1287,SELL,1.10244,1.10344,100.00,-112.00,-1.120
1288,SELL,1.10312,1.10412,100.00,110.00,1.100
1289,SELL,1.10197,1.10297,100.00,-100.00,-1.000
1290,SELL,1.10292,1.10392,100.00,-100.00,-1.000
1291,BUY,1.10335,1.10235,100.00,-100.00,-1.000
1292,SELL,1.10271,1.10371,100.00,-100.00,-1.000
1293,SELL,1.10411,1.10511,100.00,100.00,1.000
1294,BUY,1.10299,1.10199,100.00,100.00,1.000
1295,SELL,1.10444,1.10544,100.00,100.00,1.000
1296,BUY,1.10085,1.09985,100.00,-105.00,-1.050
1297,BUY,1.10002,1.09902,100.00,-104.00,-1.040
1298,BUY,1.09696,1.09596,100.00,-101.00,-1.010
1299,BUY,1.09574,1.09474,100.00,100.00,1.000
1300,BUY,1.09660,1.09560,100.00,100.00,1.000
1301,BUY,1.09762,1.09662,100.00,-100.00,-1.000
1302,SELL,1.09942,1.10042,100.00,-100.00,-1.000
1303,BUY,1.09972,1.09872,100.00,-100.00,-1.000
1304,SELL,1.10314,1.10414,100.00,-101.00,-1.010
1305,SELL,1.10532,1.10632,100.00,-106.00,-1.060
1306,SELL,1.10642,1.10742,100.00,-101.00,-1.010
1307,BUY,1.10886,1.10786,100.00,-106.00,-1.060
1308,SELL,1.10847,1.10947,100.00,-102.00,-1.020
1309,SELL,1.11023,1.11123,100.00,-101.00,-1.010
1310,SELL,1.11129,1.11229,100.00,100.00,1.000
1311,SELL,1.11121,1.11221,100.00,-100.00,-1.000
1312,BUY,1.11285,1.11185,100.00,-110.00,-1.100
1313,SELL,1.11254,1.11354,100.00,103.00,1.030
1314,BUY,1.11151,1.11051,100.00,100.00,1.000
1315,BUY,1.11163,1.11063,100.00,100.00,1.000
1316,SELL,1.11268,1.11368,100.00,101.00,1.010
1317,BUY,1.11154,1.11054,100.00,-112.00,-1.120
1318,BUY,1.11088,1.10988,100.00,102.00,1.020
1319,SELL,1.11244,1.11344,100.00,100.00,1.000
1320,SELL,1.11114,1.11214,100.00,-104.00,-1.040
1321,BUY,1.11161,1.11061,100.00,100.00,1.000
1322,SELL,1.11266,1.11366,100.00,101.00,1.010
1323,SELL,1.11189,1.11289,100.00,-102.00,-1.020
1324,SELL,1.11363,1.11463,100.00,-100.00,-1.000
1325,SELL,1.11458,1.11558,100.00,-101.00,-1.010
1326,SELL,1.11605,1.11705,100.00,-100.00,-1.000
1327,SELL,1.11715,1.11815,100.00,100.00,1.000
1328,SELL,1.11499,1.11599,100.00,-104.00,-1.040
1329,SELL,1.11600,1.11700,100.00,101.00,1.010
1330,BUY,1.11382,1.11282,100.00,-100.00,-1.000
1331,SELL,1.11335,1.11435,100.00,-100.00,-1.000
1332,SELL,1.11430,1.11530,100.00,100.00,1.000
1333,SELL,1.11355,1.11455,100.00,122.00,1.220
1334,BUY,1.11233,1.11133,100.00,-102.00,-1.020
1335,BUY,1.11140,1.11040,100.00,-104.00,-1.040
1336,BUY,1.11040,1.10940,100.00,100.00,1.000
1337,BUY,1.11137,1.11037,100.00,-101.00,-1.010
1338,SELL,1.11209,1.11309,100.00,101.00,1.010
1339,SELL,1.11132,1.11232,100.00,-106.00,-1.060
1340,SELL,1.11387,1.11487,100.00,-100.00,-1.000
1341,SELL,1.11591,1.11691,100.00,-100.00,-1.000
1342,BUY,1.11605,1.11505,100.00,-100.00,-1.000
1343,BUY,1.11510,1.11410,100.00,100.00,1.000
1344,SELL,1.11654,1.11754,100.00,-101.00,-1.010
