time,event,a,b,c,d,e
2026.07.08 14:10:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783519500,,,,
2026.07.08 14:38:13,EXIT,id=52,STOP,-93.12,R=-1.000,
2026.07.08 14:45:00,ENTRY_ATTEMPT,P1_EURUSD_1783521600,BUY,0.85,1.14044,1.13935
2026.07.08 14:45:00,ENTRY_ACCEPTED,P1_EURUSD_1783521600,id=53,1.14044,lot=0.85,riskP=93.06/A=92.65
2026.07.08 16:40:00,SKIPPED_POSITION_OPEN,P2_EURUSD_1783528500,,,,
2026.07.08 17:20:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783530900,,,,
2026.07.08 18:25:00,SKIPPED_POSITION_OPEN,P1_EURUSD_1783534800,,,,
2026.07.08 18:39:36,EXIT,id=53,STOP,-93.50,R=-1.009,
2026.07.08 18:50:00,ENTRY_ATTEMPT,P1_EURUSD_1783536300,BUY,4.18,1.13929,1.13907
2026.07.08 18:50:00,ENTRY_ACCEPTED,P1_EURUSD_1783536300,id=54,1.13929,lot=4.18,riskP=92.13/A=91.96
2026.07.08 19:05:18,EXIT,id=54,TARGET,183.92,R=2.000,
2026.07.08 19:30:00,ENTRY_ATTEMPT,P2_EURUSD_1783538700,SELL,4.08,1.14014,1.14037
2026.07.08 19:30:00,ENTRY_ACCEPTED,P2_EURUSD_1783538700,id=55,1.14014,lot=4.08,riskP=93.97/A=93.84
2026.07.08 19:31:31,EXIT,id=55,STOP,-93.84,R=-1.000,
2026.07.08 19:50:00,ENTRY_ATTEMPT,P2_EURUSD_1783539900,SELL,3.13,1.14124,1.14131
2026.07.08 19:50:00,ENTRY_ACCEPTED,P2_EURUSD_1783539900,id=56,1.14124,lot=3.13,riskP=93.03/A=21.91
2026.07.08 19:50:25,EXIT,id=56,TARGET,43.82,R=2.000,
2026.07.08 20:05:00,ENTRY_ATTEMPT,P2_EURUSD_1783540800,SELL,2.96,1.14149,1.14154
2026.07.08 20:05:00,ENTRY_ACCEPTED,P2_EURUSD_1783540800,id=57,1.14149,lot=2.96,riskP=93.47/A=14.80
2026.07.08 20:05:15,EXIT,id=57,STOP,-14.80,R=-1.000,
2026.07.08 20:15:00,ENTRY_ATTEMPT,P2_EURUSD_1783541400,SELL,3.13,1.14213,1.14220
2026.07.08 20:15:00,ENTRY_ACCEPTED,P2_EURUSD_1783541400,id=58,1.14213,lot=3.13,riskP=93.32/A=21.91
2026.07.08 20:15:14,EXIT,id=58,STOP,-21.91,R=-1.000,
2026.07.08 20:35:00,ENTRY_ATTEMPT,P2_EURUSD_1783542600,SELL,3.69,1.14262,1.14274
