seq,time,event,detail
22,2026.07.06 11:46:01,EXIT,id=2 reason=STOP exit=1.14157 pnl=-98.80 R=-1.000 bal=9792.90
23,2026.07.06 13:00:00,PATTERN_DETECTED,ref=1.14148 l2=1.14110 c2=1.14120 c3=1.14132 t3=2026.07.06 12:55:00 rule=A_prime_K3_strict_left
24,2026.07.06 13:00:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
25,2026.07.06 13:05:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
26,2026.07.06 14:55:00,PATTERN_DETECTED,ref=1.14139 l2=1.14126 c2=1.14136 c3=1.14134 t3=2026.07.06 14:50:00 rule=A_prime_K3_strict_left
27,2026.07.06 14:55:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
28,2026.07.06 15:00:00,ENTRY,id=3 entry=1.14153 c3close=1.14134 gap_pts=19.0 sl=1.14125 tp=1.14209 vol=3.49 risk=97.72 tv=SYMBOL_TRADE_TICK_VALUE
29,2026.07.06 15:45:21,EXIT,id=3 reason=STOP exit=1.14125 pnl=-97.72 R=-1.000 bal=9695.18
30,2026.07.06 15:50:00,PATTERN_DETECTED,ref=1.14145 l2=1.14127 c2=1.14137 c3=1.14139 t3=2026.07.06 15:45:00 rule=A_prime_K3_strict_left
31,2026.07.06 15:50:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
32,2026.07.06 15:55:00,ENTRY,id=4 entry=1.14153 c3close=1.14139 gap_pts=14.0 sl=1.14126 tp=1.14207 vol=3.59 risk=96.93 tv=SYMBOL_TRADE_TICK_VALUE
33,2026.07.06 15:57:40,EXIT,id=4 reason=STOP exit=1.14126 pnl=-96.93 R=-1.000 bal=9598.25
34,2026.07.06 16:55:00,PATTERN_DETECTED,ref=1.14165 l2=1.14121 c2=1.14159 c3=1.14122 t3=2026.07.06 16:50:00 rule=A_prime_K3_strict_left
35,2026.07.06 16:55:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
36,2026.07.06 17:00:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
37,2026.07.07 03:35:00,PATTERN_DETECTED,ref=1.14388 l2=1.14381 c2=1.14387 c3=1.14397 t3=2026.07.07 03:30:00 rule=A_prime_K3_strict_left
38,2026.07.07 03:35:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
39,2026.07.07 03:40:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
40,2026.07.07 05:35:00,PATTERN_DETECTED,ref=1.14420 l2=1.14415 c2=1.14417 c3=1.14422 t3=2026.07.07 05:30:00 rule=A_prime_K3_strict_left
41,2026.07.07 05:35:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
42,2026.07.07 05:40:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
43,2026.07.07 06:50:00,PATTERN_DETECTED,ref=1.14382 l2=1.14361 c2=1.14376 c3=1.14369 t3=2026.07.07 06:45:00 rule=A_prime_K3_strict_left
44,2026.07.07 06:50:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
45,2026.07.07 06:55:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
46,2026.07.07 08:30:00,PATTERN_DETECTED,ref=1.14320 l2=1.14292 c2=1.14314 c3=1.14308 t3=2026.07.07 08:25:00 rule=A_prime_K3_strict_left
47,2026.07.07 08:30:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
48,2026.07.07 08:35:00,ENTRY,id=5 entry=1.14327 c3close=1.14308 gap_pts=19.0 sl=1.14291 tp=1.14399 vol=2.66 risk=95.76 tv=SYMBOL_TRADE_TICK_VALUE
49,2026.07.07 08:44:01,EXIT,id=5 reason=STOP exit=1.14291 pnl=-95.76 R=-1.000 bal=9502.49
50,2026.07.07 10:35:00,PATTERN_DETECTED,ref=1.14266 l2=1.14264 c2=1.14265 c3=1.14302 t3=2026.07.07 10:30:00 rule=A_prime_K3_strict_left
51,2026.07.07 10:35:00,SIGNAL,direction=BUY_CANDIDATE pending execution at first tick of candle 4
52,2026.07.07 10:40:00,ORDER_FAILED,OrderSend=false retcode=10019 err=4756
53,2026.07.07 11:05:00,PATTERN_DETECTED,ref=1.14259 l2=1.14248 c2=1.14251 c3=1.14271 t3=2026.07.07 11:00:00 rule=A_prime_K3_strict_left
